"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"MUSB";;;
2;"SW1";"SW_PUSH_6mm";1;"RESET";;;
3;"P2,P8";"pin_array_16X2";2;"CONN_16X2";;;
4;"D1";"TQFP_64";1;"STM32F103-64";;;
5;"U1";"SOT223";1;"1117";;;
6;"C1,C9";"SM1206POL";2;"10 uF x 6.3 V";;;
7;"L1";"SM0805";1;"4.7 uH";;;
8;"C7,C2,C3,C4,C8,C6,C10,C5";"SM0603";8;"0.1 uF";;;
9;"R10,R9";"SM0603";2;"22";;;
10;"R8";"SM0603";1;"1.5 k";;;
11;"R7,R6,R5,R3,R2,R1,R12";"SM0603";7;"10 k";;;
12;"R4";"SM0603";1;"390";;;
13;"C11,C12";"SM0603";2;"22 pF";;;
14;"JP2,JP1,JP3";"PIN_ARRAY_2X1";3;"JUMPER";;;
15;"P1";"PIN_ARRAY_1";1;"V+5";;;
16;"P3";"PIN_ARRAY_1";1;"VDD";;;
17;"P7,P6,P5";"PIN_ARRAY_1";3;"GND";;;
18;"X1";"HC-49V";1;"8 MHz";;;
19;"P4";"pin_array_10x2";1;"CONN_10X2";;;
20;"R11";"SM0603";1;"330";;;
21;"D2";"LED-3MM";1;"LED";;;
22;"Q1";"SOT23";1;"IRLML2502";;;
23;"D3";"DO214";1;"DIODE";;;
